,Date_Created,Title,Artist,URL
22,7/18/2019,Uso [TV Size] (FMA ED 1),SID,https://www.smule.com//recording/sid-uso-tv-size-fma-ed-1/866011258_3053045052
23,7/13/2019,Let it out - TV SIZE [FMA Brotherhood],Fukuhara Miho,https://www.smule.com//recording/fukuhara-miho-let-it-out-tv-size-fma-brotherhood/866011258_3045581393
24,7/13/2019,Kibou No Kane Oto,Mermaid Melody: Pichi Pichi Pitch,https://www.smule.com//recording/mermaid-melody-pichi-pichi-pitch-kibou-no-kane-oto/866011258_3045556253
25,7/6/2019,[Short] Shinkai Shoujo,Hatsune Miku,https://www.smule.com//recording/hatsune-miku-short-shinkai-shoujo/866011258_3033506045
26,7/6/2019,Secret Ambition TV size - Nanoha StrikerS OP,Mizuki Nana,https://www.smule.com//recording/mizuki-nana-secret-ambition-tv-size-nanoha-strikers-op/866011258_3033499672
27,6/19/2019,どこまでも 〜How Far I’ll Go〜(モアナと伝説の海),モアナと伝説の海/ディズニー,https://www.smule.com//recording/%E3%83%A2%E3%82%A2%E3%83%8A%E3%81%A8%E4%BC%9D%E8%AA%AC%E3%81%AE%E6%B5%B7-%E3%83%87%E3%82%A3%E3%82%BA%E3%83%8B%E3%83%BC-%E3%81%A9%E3%81%93%E3%81%BE%E3%81%A7%E3%82%82-how-far-i-ll-go-%E3%83%A2%E3%82%A2%E3%83%8A%E3%81%A8%E4%BC%9D%E8%AA%AC%E3%81%AE%E6%B5%B7/866011258_3003318664
28,6/13/2019,Nanatsu no Umi no Monogatari,"Lucia Nanami, Hoshou Hanon, Touin Rina",https://www.smule.com//recording/lucia-nanami-hoshou-hanon-touin-rina-nanatsu-no-umi-no-monogatari/866011258_2992719599
29,6/3/2019,Togetsukyou ~Kimi wo Omou~,Mai Kuraki,https://www.smule.com//recording/mai-kuraki-togetsukyou-kimi-wo-omou/866011258_2977847561
30,6/2/2019,+3 [Short] 灰色と青 / Haiiro to Ao - acoustic,米津玄師 + 菅田将暉,https://www.smule.com//recording/%E7%B1%B3%E6%B4%A5%E7%8E%84%E5%B8%AB-%E8%8F%85%E7%94%B0%E5%B0%86%E6%9A%89-3-short-%E7%81%B0%E8%89%B2%E3%81%A8%E9%9D%92-haiiro-to-ao-acoustic/866011258_2976427482
31,6/2/2019,psi-missing,川田まみ,https://www.smule.com//recording/%E5%B7%9D%E7%94%B0%E3%81%BE%E3%81%BF-psi-missing/866011258_2976423041
32,5/28/2019,【TV】PSI-missing -とある魔術の禁書目録-,川田まみ/Mami Kawada,https://www.smule.com//recording/%E5%B7%9D%E7%94%B0%E3%81%BE%E3%81%BF-mami-kawada-tv-psi-missing-%E3%81%A8%E3%81%82%E3%82%8B%E9%AD%94%E8%A1%93%E3%81%AE%E7%A6%81%E6%9B%B8%E7%9B%AE%E9%8C%B2/866011258_2968563389
33,5/27/2019,Ash Like Snow - Mudena14's version,the brilliant green,https://www.smule.com//recording/the-brilliant-green-ash-like-snow-mudena14s-version/866011258_2966850219
34,5/26/2019,Mother Symphony,Mermaid Melody: Pichi Pichi Pitch,https://www.smule.com//recording/mermaid-melody-pichi-pichi-pitch-mother-symphony/866011258_2965297656
35,2/18/2019,KODOU ~ Perfect Harmony ~,Mermaid Melody,https://www.smule.com//recording/mermaid-melody-kodou-perfect-harmony/866011258_2793745272
36,2/13/2019,Tokyo Teddy Bear,Kagamine Rin,https://www.smule.com//recording/kagamine-rin-tokyo-teddy-bear/866011258_2784299297
37,2/12/2019,青い青いこの地球に(高音質),上原あずみ,https://www.smule.com//recording/%E4%B8%8A%E5%8E%9F%E3%81%82%E3%81%9A%E3%81%BF-%E9%9D%92%E3%81%84%E9%9D%92%E3%81%84%E3%81%93%E3%81%AE%E5%9C%B0%E7%90%83%E3%81%AB-%E9%AB%98%E9%9F%B3%E8%B3%AA/866011258_2782516476
38,2/12/2019,Ash Like Snow ~Tv Size~,The Briliant Green,https://www.smule.com//recording/the-briliant-green-ash-like-snow-tv-size/866011258_2782490366
39,2/7/2019,Return to the sea(Calm),mermaid melody,https://www.smule.com//recording/mermaid-melody-return-to-the-sea-calm/866011258_2772846647
40,2/3/2019,Yume no Sono Saki He,Mermaid Melody,https://www.smule.com//recording/mermaid-melody-yume-no-sono-saki-he/866011258_2765530392
41,2/3/2019,Nana Kitade - Antoinette Blue,,https://www.smule.com//recording/nana-kitade-antoinette-blue/866011258_2765508062
42,2/3/2019,Cantarella - Instrumental Remix,AK A,https://www.smule.com//recording/ak-a-cantarella-instrumental-remix/866011258_2765477108
43,1/21/2019,夏の幻,GARNET CROW,https://www.smule.com//recording/garnet-crow-%E5%A4%8F%E3%81%AE%E5%B9%BB/866011258_2740792885
44,1/15/2019,青いベンチ (piano),テゴマス (piano by shino65),https://www.smule.com//recording/%E3%83%86%E3%82%B4%E3%83%9E%E3%82%B9-piano-by-shino65-%E9%9D%92%E3%81%84%E3%83%99%E3%83%B3%E3%83%81-piano/866011258_2729371424
45,12/23/2018,【full】Lemon,Kenshi Yonezu,https://www.smule.com//recording/kenshi-yonezu-full-lemon/866011258_2686720274
46,12/22/2018,Anata ga Koko ni Iru Riyuu - Rie Fu,,https://www.smule.com//recording/anata-ga-koko-ni-iru-riyuu-rie-fu/866011258_2686693541
47,12/10/2018,Ever Blue,Mermaid Melody,https://www.smule.com//recording/mermaid-melody-ever-blue/866011258_2663292661
48,12/8/2018,君と約束した優しいあの場所まで,三枝夕夏IN db,https://www.smule.com//recording/%E4%B8%89%E6%9E%9D%E5%A4%95%E5%A4%8Fin-db-%E5%90%9B%E3%81%A8%E7%B4%84%E6%9D%9F%E3%81%97%E3%81%9F%E5%84%AA%E3%81%97%E3%81%84%E3%81%82%E3%81%AE%E5%A0%B4%E6%89%80%E3%81%BE%E3%81%A7/866011258_2658277971
49,11/27/2018,Tsunaida te ni Kiss wo,Sanae Kobayashi,https://www.smule.com//recording/sanae-kobayashi-tsunaida-te-ni-kiss-wo/866011258_2637006151
50,11/24/2018,Legend of Mermaid Group,Mermaid Melody,https://www.smule.com//recording/mermaid-melody-legend-of-mermaid-group/866011258_2619792022
51,10/17/2018,Legend of Mermaid,,https://www.smule.com//recording/legend-of-mermaid/866011258_2552979792
52,9/27/2018,Yami no Baroque,,https://www.smule.com//recording/yami-no-baroque/866011258_2510790848
53,9/17/2018,無色,上原あずみ,https://www.smule.com//recording/%E4%B8%8A%E5%8E%9F%E3%81%82%E3%81%9A%E3%81%BF-%E7%84%A1%E8%89%B2/866011258_2487237597
54,8/24/2018,Growing of my heart,倉木麻衣,https://www.smule.com//recording/%E5%80%89%E6%9C%A8%E9%BA%BB%E8%A1%A3-growing-of-my-heart/866011258_2434862876
55,8/13/2018,Nanatsu no Umi no Monogatari,"Lucia Nanami, Hoshou Hanon, Touin Rina",https://www.smule.com//recording/lucia-nanami-hoshou-hanon-touin-rina-nanatsu-no-umi-no-monogatari/866011258_2413671216
56,8/13/2018,Happy Synthesizer,Gumi & Luka,https://www.smule.com//recording/gumi-luka-happy-synthesizer/866011258_2413650973
